1,"Oxford University Bodleian Library",\N,0,"Arch. G d.44 (1)",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"","",0,0,1,0,1,\N,\N,1,129,\N
3,"British Library",\N,0,"C.21.a.37",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"","Ms. note on first free endpaper recto: This most precious volume is from the libraries of ye late W: Bolland [?] and B: H: Bright Esqrs:. At Mr. Bolland's [?] sale (at ye rooms of Messrs: Evans) it was bought by Mr. Bright for £91:0:0... At Mr. Bright's sale (at ye rooms of Messrs. Sotheby Ho. [?]) on 7: April 1845. I became the purchaser for ye sum of £91:10:0... George Daniel. Canonbury Square. Slip with ms. notes regarding the 1845 sale and signed \"T.R.\" [Thomas Rodd] and \"Geo Daniel\" tipped in on front board",0,0,1,0,1,\N,\N,1,129,\N
4,"Yale University, Sterling Memorial Library",\N,0,"Ig 3 620",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"[This is a later reprint; facsimile]  Bound with his The passionate pilgrim. London, 1599.","",0,0,0,0,1,1,1,1,137,""
5,"Cambridge University Trinity College",\N,0,"Capell *.22[2]",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"-Final leaf","",0,0,1,0,1,\N,\N,1,137,\N
8,"Oxford University Bodleian Library",\N,0,"[Shelfmark not available]",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"date cropt","",0,0,1,0,1,\N,\N,1,111,""
9,"Yale University, Beinecke Rare Book and Manuscript",\N,0,"Eliz 194",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,\N,"",0,0,1,0,1,\N,\N,1,111,""
10,"Henry E. Huntington Library and Art Gallery",\N,0,"69380",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"MS. notes.","initials of Narcissus Luttrell; signature of George Steevens; Roxburghe copy; MS. notes signed by George Daniel, Canonbury, and binding stamped with his monogram; Griswold copy; bookplate of E.D. Church",0,0,1,0,1,\N,\N,1,111,\N
11,"British Library",\N,0,"[Shelfmark not available]",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,\N,"",0,0,1,0,1,\N,\N,1,111,""
12,"The John Rylands Library, The University of Manchester",\N,0,"10739",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"","",0,0,1,0,1,\N,\N,1,111,\N
13,"Cambridge University Trinity College",\N,0,"Capell S.36[5]",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"[A]1-2, B1, K2-L2 replaced with MS. versions","",0,0,1,0,1,\N,\N,1,111,\N
14,"Folger Shakespeare",\N,0,"STC 22353a",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"cs0063. All leaves are trimmed and inlaid. MS. shelf-mark on armorial bookplate. Printed shelf-label ('T' '3'). With three engravings pasted on the front and back fly-leaves: 'New Place, from a drawing in the margin of an ancient survey made by order of Sir George Carew (afterwards Baron Carew of Clopton, and Earl of Totness) ...' (signed I. Jordan del. A. Burrell sc.); Droeshout engraving of Shakespeare (4th state, Hind); engraving of the Shakespeare memorial(?). Trimmed, affecting headlines and text, some of which are supplied in MS. ink.","inscribed on first front free endpaper: \"G.C. jr. [i.e. George Carew? see engraving pasted on front fly-leaf] given to him by the Honble John Byng 1791\"; armorial bookplate of Dogmersfield Library (i.e. Sir Henry Mildmay copy) (motto \"allah ta hara\")",0,0,1,0,1,\N,\N,1,111,\N
15,"British Library",\N,0,"C.39.c.44",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"Some print show-through","",0,0,1,0,1,\N,\N,1,52,\N
16,"Oxford University Bodleian Library",\N,0,"[Shelfmark not available]",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"Imperfect; lacks title page","",0,0,1,0,1,\N,\N,1,140,\N
17,"British Library",\N,0,"Harley 5990/134",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"Imperfect: title page only.","",0,0,1,0,1,\N,\N,1,135,""
18,"British Library",\N,0,"[Shelfmark not available]",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"Imperfect; title page only","",0,0,0,0,1,1,1,1,135,""
19,"British Library",\N,0,"C.21.a.49",0,0,\N,\N,\N,\N,\N,\N,0,\N,0,\N,\N,"","",0,0,1,0,1,\N,\N,1,134,\N
